story_id,first_seen_front_page,first_seen_newest,hours_from_newest_to_front_page
49362396,2026-08-19 15:45:54.958000+00:00,2026-08-19 14:54:30.265000+00:00,0.8568591666666667
49362401,2026-08-19 16:45:29.103000+00:00,2026-08-19 14:54:30.265000+00:00,1.8496772222222222
49362728,2026-08-19 16:45:29.103000+00:00,2026-08-19 15:18:36.268000+00:00,1.4480097222222221
49362887,2026-08-19 16:45:29.103000+00:00,2026-08-19 15:34:28.524000+00:00,1.1834941666666665
49362934,2026-08-19 16:45:29.103000+00:00,2026-08-19 15:34:28.524000+00:00,1.1834941666666665
49363433,2026-08-19 16:45:29.103000+00:00,2026-08-19 16:14:11.102000+00:00,0.5216669444444444
49363587,2026-08-19 16:45:29.103000+00:00,2026-08-19 16:22:30.506000+00:00,0.3829436111111111
49363665,2026-08-19 17:45:11.161000+00:00,2026-08-19 16:30:59.291000+00:00,1.2366305555555555
49363668,2026-08-19 16:45:29.103000+00:00,2026-08-19 16:30:59.291000+00:00,0.24161444444444444
49363710,2026-08-19 16:45:29.103000+00:00,2026-08-19 16:30:59.291000+00:00,0.24161444444444444
49364223,2026-08-19 17:45:11.161000+00:00,2026-08-19 17:10:32.880000+00:00,0.5773002777777778
